"Date","sulfate","nitrate"
2001-01-01,NA,NA
2001-01-02,NA,NA
2001-01-03,NA,NA
2001-01-04,NA,NA
2001-01-05,NA,NA
2001-01-06,NA,NA
2001-01-07,NA,NA
2001-01-08,NA,NA
2001-01-09,NA,NA
2001-01-10,NA,NA
2001-01-11,NA,NA
2001-01-12,NA,NA
2001-01-13,NA,NA
2001-01-14,NA,NA
2001-01-15,NA,NA
2001-01-16,NA,NA
2001-01-17,NA,NA
2001-01-18,NA,NA
2001-01-19,NA,NA
2001-01-20,NA,NA
2001-01-21,NA,NA
2001-01-22,NA,NA
2001-01-23,NA,NA
2001-01-24,NA,NA
2001-01-25,NA,NA
2001-01-26,NA,NA
2001-01-27,NA,NA
2001-01-28,NA,NA
2001-01-29,NA,NA
2001-01-30,NA,NA
2001-01-31,NA,NA
2001-02-01,NA,NA
2001-02-02,NA,NA
2001-02-03,NA,NA
2001-02-04,NA,NA
2001-02-05,NA,NA
2001-02-06,NA,NA
2001-02-07,NA,NA
2001-02-08,NA,NA
2001-02-09,NA,NA
2001-02-10,NA,NA
2001-02-11,NA,NA
2001-02-12,NA,NA
2001-02-13,NA,NA
2001-02-14,NA,NA
2001-02-15,NA,NA
2001-02-16,NA,NA
2001-02-17,NA,NA
2001-02-18,NA,NA
2001-02-19,NA,NA
2001-02-20,NA,NA
2001-02-21,NA,NA
2001-02-22,NA,NA
2001-02-23,NA,NA
2001-02-24,NA,NA
2001-02-25,NA,NA
2001-02-26,NA,NA
2001-02-27,NA,NA
2001-02-28,NA,NA
2001-03-01,NA,NA
2001-03-02,NA,NA
2001-03-03,NA,NA
2001-03-04,NA,NA
2001-03-05,NA,NA
2001-03-06,NA,NA
2001-03-07,NA,NA
2001-03-08,NA,NA
2001-03-09,NA,NA
2001-03-10,NA,NA
2001-03-11,NA,NA
2001-03-12,NA,NA
2001-03-13,NA,NA
2001-03-14,2.1,0.435
2001-03-15,NA,NA
2001-03-16,NA,NA
2001-03-17,NA,NA
2001-03-18,NA,NA
2001-03-19,NA,NA
2001-03-20,1.73,0.327
2001-03-21,NA,NA
2001-03-22,NA,NA
2001-03-23,NA,NA
2001-03-24,NA,NA
2001-03-25,NA,NA
2001-03-26,1.24,0.333
2001-03-27,NA,NA
2001-03-28,NA,NA
2001-03-29,1.91,0.495
2001-03-30,NA,NA
2001-03-31,NA,NA
2001-04-01,1.1,0.364
2001-04-02,NA,NA
2001-04-03,NA,NA
2001-04-04,1.15,0.353
2001-04-05,NA,NA
2001-04-06,NA,NA
2001-04-07,NA,NA
2001-04-08,NA,NA
2001-04-09,NA,NA
2001-04-10,2.89,0.46
2001-04-11,NA,NA
2001-04-12,NA,NA
2001-04-13,NA,NA
2001-04-14,NA,NA
2001-04-15,NA,NA
2001-04-16,NA,NA
2001-04-17,NA,NA
2001-04-18,NA,NA
2001-04-19,2.09,0.778
2001-04-20,NA,NA
2001-04-21,NA,NA
2001-04-22,NA,NA
2001-04-23,NA,NA
2001-04-24,NA,NA
2001-04-25,2.68,0.582
2001-04-26,NA,NA
2001-04-27,NA,NA
2001-04-28,2.2,0.269
2001-04-29,NA,NA
2001-04-30,NA,NA
2001-05-01,0.976,0.335
2001-05-02,NA,NA
2001-05-03,NA,NA
2001-05-04,2.23,0.83
2001-05-05,NA,NA
2001-05-06,NA,NA
2001-05-07,2.41,0.384
2001-05-08,NA,NA
2001-05-09,NA,NA
2001-05-10,NA,NA
2001-05-11,NA,NA
2001-05-12,NA,NA
2001-05-13,2.8,0.719
2001-05-14,NA,NA
2001-05-15,NA,NA
2001-05-16,2.16,0.891
2001-05-17,NA,NA
2001-05-18,NA,NA
2001-05-19,1.72,0.48
2001-05-20,NA,NA
2001-05-21,NA,NA
2001-05-22,3.16,0.514
2001-05-23,NA,NA
2001-05-24,NA,NA
2001-05-25,NA,NA
2001-05-26,NA,NA
2001-05-27,NA,NA
2001-05-28,NA,NA
2001-05-29,NA,NA
2001-05-30,NA,NA
2001-05-31,1.58,0.436
2001-06-01,NA,NA
2001-06-02,NA,NA
2001-06-03,2.42,0.635
2001-06-04,NA,NA
2001-06-05,NA,NA
2001-06-06,2.58,0.785
2001-06-07,NA,NA
2001-06-08,NA,NA
2001-06-09,2.34,0.804
2001-06-10,NA,NA
2001-06-11,NA,NA
2001-06-12,NA,NA
2001-06-13,NA,NA
2001-06-14,NA,NA
2001-06-15,1.84,0.287
2001-06-16,NA,NA
2001-06-17,NA,NA
2001-06-18,1.87,0.676
2001-06-19,NA,NA
2001-06-20,NA,NA
2001-06-21,1.97,0.595
2001-06-22,NA,NA
2001-06-23,NA,NA
2001-06-24,1.97,0.518
2001-06-25,NA,NA
2001-06-26,NA,NA
2001-06-27,NA,NA
2001-06-28,NA,NA
2001-06-29,NA,NA
2001-06-30,0.981,0.334
2001-07-01,NA,NA
2001-07-02,NA,NA
2001-07-03,NA,NA
2001-07-04,NA,NA
2001-07-05,NA,NA
2001-07-06,NA,NA
2001-07-07,NA,NA
2001-07-08,NA,NA
2001-07-09,3.44,0.389
2001-07-10,NA,NA
2001-07-11,NA,NA
2001-07-12,NA,NA
2001-07-13,NA,NA
2001-07-14,NA,NA
2001-07-15,2.41,0.535
2001-07-16,NA,NA
2001-07-17,NA,NA
2001-07-18,NA,NA
2001-07-19,NA,NA
2001-07-20,NA,NA
2001-07-21,1.95,0.354
2001-07-22,NA,NA
2001-07-23,NA,NA
2001-07-24,4.17,0.343
2001-07-25,NA,NA
2001-07-26,NA,NA
2001-07-27,NA,NA
2001-07-28,NA,NA
2001-07-29,NA,NA
2001-07-30,NA,NA
2001-07-31,NA,NA
2001-08-01,NA,NA
2001-08-02,NA,NA
2001-08-03,NA,NA
2001-08-04,NA,NA
2001-08-05,4.62,0.341
2001-08-06,NA,NA
2001-08-07,NA,NA
2001-08-08,NA,NA
2001-08-09,NA,NA
2001-08-10,NA,NA
2001-08-11,3.01,0.372
2001-08-12,NA,NA
2001-08-13,NA,NA
2001-08-14,3.47,0.335
2001-08-15,NA,NA
2001-08-16,NA,NA
2001-08-17,5.72,0.258
2001-08-18,NA,NA
2001-08-19,NA,NA
2001-08-20,2.16,0.521
2001-08-21,NA,NA
2001-08-22,NA,NA
2001-08-23,NA,NA
2001-08-24,NA,NA
2001-08-25,NA,NA
2001-08-26,2.7,0.374
2001-08-27,NA,NA
2001-08-28,NA,NA
2001-08-29,NA,NA
2001-08-30,NA,NA
2001-08-31,NA,NA
2001-09-01,1.06,0.203
2001-09-02,NA,NA
2001-09-03,NA,NA
2001-09-04,NA,NA
2001-09-05,NA,NA
2001-09-06,NA,NA
2001-09-07,2.05,0.333
2001-09-08,NA,NA
2001-09-09,NA,NA
2001-09-10,NA,NA
2001-09-11,NA,NA
2001-09-12,NA,NA
2001-09-13,NA,NA
2001-09-14,NA,NA
2001-09-15,NA,NA
2001-09-16,2.62,0.329
2001-09-17,NA,NA
2001-09-18,NA,NA
2001-09-19,NA,NA
2001-09-20,NA,NA
2001-09-21,NA,NA
2001-09-22,NA,NA
2001-09-23,NA,NA
2001-09-24,NA,NA
2001-09-25,NA,0.452
2001-09-26,NA,NA
2001-09-27,NA,NA
2001-09-28,1.51,0.4
2001-09-29,NA,NA
2001-09-30,NA,NA
2001-10-01,NA,NA
2001-10-02,NA,NA
2001-10-03,NA,NA
2001-10-04,1.56,0.398
2001-10-05,NA,NA
2001-10-06,NA,NA
2001-10-07,2.26,0.316
2001-10-08,NA,NA
2001-10-09,NA,NA
2001-10-10,NA,NA
2001-10-11,NA,NA
2001-10-12,NA,NA
2001-10-13,1.36,0.525
2001-10-14,NA,NA
2001-10-15,NA,NA
2001-10-16,0.858,0.482
