"Date","sulfate","nitrate"
2005-01-01,NA,NA
2005-01-02,NA,NA
2005-01-03,NA,NA
2005-01-04,NA,NA
2005-01-05,NA,NA
2005-01-06,NA,NA
2005-01-07,NA,NA
2005-01-08,NA,NA
2005-01-09,NA,NA
2005-01-10,NA,NA
2005-01-11,NA,NA
2005-01-12,NA,NA
2005-01-13,NA,NA
2005-01-14,NA,NA
2005-01-15,NA,NA
2005-01-16,NA,NA
2005-01-17,NA,NA
2005-01-18,NA,NA
2005-01-19,NA,NA
2005-01-20,NA,NA
2005-01-21,NA,NA
2005-01-22,5.19,5.8
2005-01-23,NA,NA
2005-01-24,NA,NA
2005-01-25,NA,NA
2005-01-26,NA,NA
2005-01-27,NA,NA
2005-01-28,0.978,0.914
2005-01-29,NA,NA
2005-01-30,NA,NA
2005-01-31,NA,NA
2005-02-01,NA,NA
2005-02-02,NA,NA
2005-02-03,3.17,1.97
2005-02-04,NA,NA
2005-02-05,NA,NA
2005-02-06,NA,NA
2005-02-07,NA,NA
2005-02-08,NA,NA
2005-02-09,2.58,2.09
2005-02-10,NA,NA
2005-02-11,NA,NA
2005-02-12,NA,NA
2005-02-13,NA,NA
2005-02-14,NA,NA
2005-02-15,5,3.31
2005-02-16,NA,NA
2005-02-17,NA,NA
2005-02-18,NA,NA
2005-02-19,NA,NA
2005-02-20,NA,NA
2005-02-21,2.66,3.59
2005-02-22,NA,NA
2005-02-23,NA,NA
2005-02-24,NA,NA
2005-02-25,NA,NA
2005-02-26,NA,NA
2005-02-27,6.56,5.04
2005-02-28,NA,NA
2005-03-01,NA,NA
2005-03-02,NA,NA
2005-03-03,NA,NA
2005-03-04,NA,NA
2005-03-05,NA,NA
2005-03-06,NA,NA
2005-03-07,NA,NA
2005-03-08,NA,NA
2005-03-09,NA,NA
2005-03-10,NA,NA
2005-03-11,2.68,1.59
2005-03-12,NA,NA
2005-03-13,NA,NA
2005-03-14,NA,NA
2005-03-15,NA,NA
2005-03-16,NA,NA
2005-03-17,5.77,1.94
2005-03-18,NA,NA
2005-03-19,NA,NA
2005-03-20,NA,NA
2005-03-21,NA,NA
2005-03-22,NA,NA
2005-03-23,2.71,0.468
2005-03-24,NA,NA
