"Date","sulfate","nitrate"
2002-01-01,NA,NA
2002-01-02,NA,NA
2002-01-03,NA,NA
2002-01-04,NA,NA
2002-01-05,NA,NA
2002-01-06,NA,NA
2002-01-07,NA,NA
2002-01-08,NA,NA
2002-01-09,2.78,3.6
2002-01-10,NA,NA
2002-01-11,NA,NA
2002-01-12,NA,NA
2002-01-13,NA,NA
2002-01-14,NA,NA
2002-01-15,NA,NA
2002-01-16,NA,NA
2002-01-17,NA,NA
2002-01-18,NA,NA
2002-01-19,NA,NA
2002-01-20,NA,NA
2002-01-21,NA,NA
2002-01-22,NA,NA
2002-01-23,NA,NA
2002-01-24,NA,NA
2002-01-25,NA,NA
2002-01-26,NA,NA
2002-01-27,NA,NA
2002-01-28,NA,NA
2002-01-29,NA,NA
2002-01-30,NA,NA
2002-01-31,NA,NA
2002-02-01,NA,NA
2002-02-02,NA,NA
2002-02-03,NA,NA
2002-02-04,NA,NA
2002-02-05,NA,NA
2002-02-06,NA,NA
2002-02-07,NA,NA
2002-02-08,4.36,9.48
2002-02-09,NA,NA
2002-02-10,NA,NA
2002-02-11,1.6,0.878
2002-02-12,4.13,3.31
2002-02-13,1.51,1.24
2002-02-14,1.8,2.77
2002-02-15,2.54,3.34
2002-02-16,3.13,2.9
2002-02-17,NA,NA
2002-02-18,1.91,1.76
2002-02-19,3.48,4.22
2002-02-20,NA,NA
2002-02-21,4.09,1.38
2002-02-22,4.26,0.945
2002-02-23,4.62,3.13
2002-02-24,2.74,4.13
2002-02-25,NA,NA
2002-02-26,NA,NA
2002-02-27,3.1,1.18
2002-02-28,2.64,2.55
2002-03-01,3.37,3.63
2002-03-02,3.45,4.03
2002-03-03,NA,NA
2002-03-04,2.75,1.24
2002-03-05,3.14,3.19
2002-03-06,3.05,2.59
2002-03-07,4.11,3.18
2002-03-08,4.49,3.64
2002-03-09,NA,NA
2002-03-10,2.02,0.448
2002-03-11,2.16,3.34
2002-03-12,3.59,4.77
2002-03-13,5.64,5.97
2002-03-14,NA,NA
2002-03-15,9.42,4.39
2002-03-16,5.02,1.87
2002-03-17,3.37,1.8
2002-03-18,2.69,2.37
2002-03-19,6.4,5.55
2002-03-20,2.88,1.76
2002-03-21,5.48,2.8
2002-03-22,1.96,1.01
2002-03-23,2.74,2.16
2002-03-24,2.85,1.73
2002-03-25,5.89,5.12
2002-03-26,3.45,1.36
2002-03-27,5.08,1.13
2002-03-28,3.49,3.16
2002-03-29,7.21,3.42
2002-03-30,5.59,1.53
2002-03-31,2.86,4.14
2002-04-01,NA,NA
2002-04-02,NA,NA
2002-04-03,NA,NA
2002-04-04,NA,NA
2002-04-05,NA,NA
2002-04-06,NA,NA
2002-04-07,NA,NA
2002-04-08,NA,NA
2002-04-09,NA,NA
2002-04-10,NA,NA
2002-04-11,NA,NA
2002-04-12,NA,NA
2002-04-13,NA,NA
2002-04-14,NA,NA
2002-04-15,3.94,0.827
2002-04-16,8.49,2.64
2002-04-17,10.8,2.73
2002-04-18,8.67,1
2002-04-19,7.17,2.79
2002-04-20,4.82,1.71
2002-04-21,2.15,3.13
2002-04-22,NA,NA
2002-04-23,2.72,1.55
2002-04-24,3.15,2.57
2002-04-25,3.51,1.75
2002-04-26,3.05,2.08
2002-04-27,3.91,3.66
2002-04-28,4,1.81
2002-04-29,4.32,0.418
2002-04-30,4.65,0.894
2002-05-01,NA,NA
2002-05-02,6.64,1.85
2002-05-03,NA,NA
2002-05-04,NA,NA
2002-05-05,3.18,3.38
2002-05-06,NA,NA
2002-05-07,NA,NA
2002-05-08,3.57,1.73
2002-05-09,NA,NA
2002-05-10,NA,NA
2002-05-11,3.14,1.01
2002-05-12,NA,NA
2002-05-13,NA,NA
