"Date","sulfate","nitrate"
2004-01-01,2.77,1.6
2004-01-02,NA,NA
2004-01-03,NA,NA
2004-01-04,1.82,0.527
2004-01-05,NA,NA
2004-01-06,NA,NA
2004-01-07,NA,0.58
2004-01-08,NA,NA
2004-01-09,NA,NA
2004-01-10,4.33,0.546
2004-01-11,NA,NA
2004-01-12,NA,NA
2004-01-13,4.58,0.848
2004-01-14,NA,NA
2004-01-15,NA,NA
2004-01-16,NA,2.01
2004-01-17,NA,NA
2004-01-18,NA,NA
2004-01-19,2.44,0.648
2004-01-20,NA,NA
2004-01-21,NA,NA
2004-01-22,4.13,1.81
2004-01-23,NA,NA
2004-01-24,NA,NA
2004-01-25,2.56,1.6
2004-01-26,NA,NA
2004-01-27,NA,NA
2004-01-28,1.45,0.778
2004-01-29,NA,NA
2004-01-30,NA,NA
2004-01-31,9.15,2.75
2004-02-01,NA,NA
2004-02-02,NA,NA
2004-02-03,0.0345,0.089
2004-02-04,NA,NA
2004-02-05,NA,NA
2004-02-06,1.4,0.5
2004-02-07,NA,NA
2004-02-08,NA,NA
2004-02-09,4.39,0.83
2004-02-10,NA,NA
2004-02-11,NA,NA
2004-02-12,3.28,0.937
2004-02-13,NA,NA
2004-02-14,NA,NA
2004-02-15,1.87,0.473
2004-02-16,NA,NA
2004-02-17,NA,NA
2004-02-18,6.41,0.756
2004-02-19,NA,NA
2004-02-20,NA,NA
2004-02-21,5.53,0.666
2004-02-22,NA,NA
2004-02-23,NA,NA
2004-02-24,2.64,0.294
2004-02-25,NA,NA
2004-02-26,NA,NA
2004-02-27,5.04,0.428
2004-02-28,NA,NA
2004-02-29,NA,NA
2004-03-01,2.01,0.761
2004-03-02,NA,NA
2004-03-03,NA,NA
2004-03-04,1.94,0.871
2004-03-05,NA,NA
2004-03-06,NA,NA
2004-03-07,10.8,1.28
2004-03-08,NA,NA
2004-03-09,NA,NA
2004-03-10,2.54,0.848
2004-03-11,NA,NA
2004-03-12,NA,NA
2004-03-13,6.29,0.982
2004-03-14,NA,NA
2004-03-15,NA,NA
2004-03-16,NA,NA
2004-03-17,NA,NA
2004-03-18,NA,NA
2004-03-19,2.77,0.668
2004-03-20,NA,NA
2004-03-21,NA,NA
2004-03-22,3.4,0.741
2004-03-23,NA,NA
2004-03-24,NA,NA
2004-03-25,1.05,0.468
2004-03-26,NA,NA
2004-03-27,NA,NA
2004-03-28,2.15,0.611
2004-03-29,NA,NA
2004-03-30,NA,NA
2004-03-31,2.69,0.88
2004-04-01,NA,NA
2004-04-02,NA,NA
2004-04-03,4.65,0.518
2004-04-04,NA,NA
2004-04-05,NA,NA
2004-04-06,4.22,1.1
2004-04-07,NA,NA
2004-04-08,NA,NA
2004-04-09,5.59,0.75
2004-04-10,NA,NA
2004-04-11,NA,NA
2004-04-12,1.5,0.365
2004-04-13,NA,NA
2004-04-14,NA,NA
2004-04-15,3.26,0.588
2004-04-16,NA,NA
2004-04-17,NA,NA
2004-04-18,2.26,0.531
2004-04-19,NA,NA
2004-04-20,NA,NA
2004-04-21,3.16,0.767
2004-04-22,NA,NA
2004-04-23,NA,NA
2004-04-24,3.35,0.669
2004-04-25,NA,NA
2004-04-26,NA,NA
2004-04-27,2.77,0.537
2004-04-28,NA,NA
2004-04-29,NA,NA
2004-04-30,3.08,0.667
2004-05-01,NA,NA
2004-05-02,NA,NA
2004-05-03,1.72,0.4
2004-05-04,NA,NA
2004-05-05,NA,NA
2004-05-06,5.72,1.09
2004-05-07,NA,NA
2004-05-08,NA,NA
2004-05-09,6.36,0.587
2004-05-10,NA,NA
2004-05-11,NA,NA
2004-05-12,5.66,1.13
2004-05-13,NA,NA
2004-05-14,NA,NA
2004-05-15,2.05,0.551
2004-05-16,NA,NA
2004-05-17,NA,NA
2004-05-18,4.81,0.602
2004-05-19,NA,NA
