"Date","sulfate","nitrate"
2006-01-01,NA,NA
2006-01-02,NA,NA
2006-01-03,NA,NA
2006-01-04,NA,NA
2006-01-05,NA,NA
2006-01-06,NA,NA
2006-01-07,NA,NA
2006-01-08,3.83,2.21
2006-01-09,NA,NA
2006-01-10,NA,NA
2006-01-11,NA,NA
2006-01-12,NA,NA
2006-01-13,NA,NA
2006-01-14,NA,NA
2006-01-15,NA,NA
2006-01-16,NA,NA
2006-01-17,NA,NA
2006-01-18,NA,NA
2006-01-19,NA,NA
2006-01-20,NA,NA
2006-01-21,NA,NA
2006-01-22,NA,NA
2006-01-23,NA,NA
2006-01-24,NA,NA
2006-01-25,NA,NA
2006-01-26,1.26,0.624
2006-01-27,NA,NA
2006-01-28,NA,NA
2006-01-29,NA,NA
2006-01-30,NA,NA
2006-01-31,NA,NA
2006-02-01,1.58,0.671
2006-02-02,NA,NA
2006-02-03,NA,NA
2006-02-04,1.4,0.432
2006-02-05,NA,NA
2006-02-06,NA,NA
2006-02-07,1.89,0.825
2006-02-08,NA,NA
2006-02-09,NA,NA
2006-02-10,2.58,2.25
2006-02-11,NA,NA
2006-02-12,NA,NA
2006-02-13,2.3,0.936
2006-02-14,NA,NA
2006-02-15,NA,NA
2006-02-16,2.02,0.486
2006-02-17,NA,NA
2006-02-18,NA,NA
2006-02-19,2.46,0.864
2006-02-20,NA,NA
2006-02-21,NA,NA
2006-02-22,2.45,0.61
2006-02-23,NA,NA
2006-02-24,NA,NA
2006-02-25,3.61,0.589
2006-02-26,NA,NA
2006-02-27,NA,NA
2006-02-28,2.5,0.499
2006-03-01,NA,NA
2006-03-02,NA,NA
2006-03-03,2.77,0.726
2006-03-04,NA,NA
2006-03-05,NA,NA
2006-03-06,5.11,1.18
2006-03-07,NA,NA
2006-03-08,NA,NA
2006-03-09,2.78,0.541
2006-03-10,NA,NA
2006-03-11,NA,NA
2006-03-12,NA,NA
2006-03-13,NA,NA
2006-03-14,NA,NA
2006-03-15,2.28,0.831
2006-03-16,NA,NA
2006-03-17,NA,NA
2006-03-18,5.31,1.27
2006-03-19,NA,NA
2006-03-20,NA,NA
2006-03-21,4.44,0.613
2006-03-22,NA,NA
2006-03-23,NA,NA
2006-03-24,NA,NA
2006-03-25,NA,NA
2006-03-26,NA,NA
2006-03-27,3.38,0.525
2006-03-28,NA,NA
2006-03-29,NA,NA
2006-03-30,3.97,0.335
2006-03-31,NA,NA
2006-04-01,NA,NA
2006-04-02,5.08,0.829
2006-04-03,NA,NA
2006-04-04,NA,NA
2006-04-05,5.43,1.05
2006-04-06,NA,NA
2006-04-07,NA,NA
2006-04-08,3.04,0.738
2006-04-09,NA,NA
2006-04-10,NA,NA
2006-04-11,NA,NA
2006-04-12,NA,NA
2006-04-13,NA,NA
2006-04-14,NA,NA
2006-04-15,NA,NA
2006-04-16,NA,NA
2006-04-17,NA,NA
2006-04-18,NA,NA
2006-04-19,NA,NA
2006-04-20,4.57,1.04
2006-04-21,NA,NA
2006-04-22,NA,NA
2006-04-23,2.83,0.844
2006-04-24,NA,NA
2006-04-25,NA,NA
2006-04-26,2.67,0.716
2006-04-27,NA,NA
2006-04-28,NA,NA
2006-04-29,4.01,0.676
2006-04-30,NA,NA
2006-05-01,NA,NA
2006-05-02,NA,0.752
2006-05-03,NA,NA
2006-05-04,NA,NA
2006-05-05,3.63,0.781
2006-05-06,NA,NA
2006-05-07,NA,NA
2006-05-08,4.67,1.12
2006-05-09,NA,NA
2006-05-10,NA,NA
2006-05-11,8.54,0.753
2006-05-12,NA,NA
2006-05-13,NA,NA
2006-05-14,2.94,0.524
2006-05-15,NA,NA
2006-05-16,NA,NA
2006-05-17,NA,NA
2006-05-18,NA,NA
2006-05-19,NA,NA
2006-05-20,3.58,0.764
2006-05-21,NA,NA
2006-05-22,NA,NA
2006-05-23,3.75,0.671
2006-05-24,NA,NA
2006-05-25,NA,NA
2006-05-26,2.55,0.602
2006-05-27,NA,NA
2006-05-28,NA,NA
2006-05-29,3.83,0.603
2006-05-30,NA,NA
2006-05-31,NA,NA
2006-06-01,1.36,0.35
2006-06-02,NA,NA
2006-06-03,NA,NA
2006-06-04,3.57,0.468
2006-06-05,NA,NA
2006-06-06,NA,NA
2006-06-07,6.37,0.364
2006-06-08,NA,NA
2006-06-09,NA,NA
2006-06-10,1.07,0.388
2006-06-11,NA,NA
2006-06-12,NA,NA
2006-06-13,NA,NA
2006-06-14,NA,NA
2006-06-15,NA,NA
2006-06-16,4.2,1.02
2006-06-17,NA,NA
2006-06-18,NA,NA
2006-06-19,2.12,0.49
2006-06-20,NA,NA
2006-06-21,NA,NA
2006-06-22,0.876,0.359
2006-06-23,NA,NA
2006-06-24,NA,NA
2006-06-25,1.03,0.265
2006-06-26,NA,NA
2006-06-27,NA,NA
2006-06-28,2.25,0.56
2006-06-29,NA,NA
2006-06-30,NA,NA
2006-07-01,1.43,0.427
2006-07-02,NA,NA
2006-07-03,NA,NA
2006-07-04,0.861,0.335
2006-07-05,NA,NA
2006-07-06,NA,NA
2006-07-07,1.16,0.793
2006-07-08,NA,NA
2006-07-09,NA,NA
2006-07-10,1.29,0.442
2006-07-11,NA,NA
2006-07-12,NA,NA
2006-07-13,NA,0.527
2006-07-14,NA,NA
2006-07-15,NA,NA
2006-07-16,1.72,0.482
2006-07-17,NA,NA
2006-07-18,NA,NA
2006-07-19,1.62,0.532
2006-07-20,NA,NA
2006-07-21,NA,NA
2006-07-22,NA,NA
2006-07-23,NA,NA
2006-07-24,NA,NA
2006-07-25,2.45,0.672
2006-07-26,NA,NA
2006-07-27,NA,NA
2006-07-28,NA,NA
2006-07-29,NA,NA
2006-07-30,NA,NA
2006-07-31,NA,NA
2006-08-01,NA,NA
2006-08-02,NA,NA
2006-08-03,2.22,0.603
2006-08-04,NA,NA
2006-08-05,NA,NA
2006-08-06,1.29,0.42
2006-08-07,NA,NA
2006-08-08,NA,NA
2006-08-09,NA,NA
2006-08-10,NA,NA
2006-08-11,NA,NA
2006-08-12,NA,NA
2006-08-13,NA,NA
2006-08-14,NA,NA
2006-08-15,NA,NA
2006-08-16,NA,NA
2006-08-17,NA,NA
2006-08-18,NA,NA
2006-08-19,NA,NA
2006-08-20,NA,NA
2006-08-21,NA,NA
2006-08-22,NA,NA
2006-08-23,NA,NA
2006-08-24,NA,NA
2006-08-25,NA,NA
2006-08-26,NA,NA
2006-08-27,1.26,0.328
2006-08-28,NA,NA
2006-08-29,NA,NA
2006-08-30,NA,NA
2006-08-31,NA,NA
2006-09-01,NA,NA
2006-09-02,1.31,0.297
2006-09-03,NA,NA
2006-09-04,NA,NA
2006-09-05,0.733,0.283
2006-09-06,NA,NA
2006-09-07,NA,NA
2006-09-08,1.5,0.35
2006-09-09,NA,NA
2006-09-10,NA,NA
2006-09-11,2.47,0.293
2006-09-12,NA,NA
2006-09-13,NA,NA
2006-09-14,1.45,0.565
2006-09-15,NA,NA
2006-09-16,NA,NA
2006-09-17,5.16,0.222
2006-09-18,NA,NA
2006-09-19,NA,NA
2006-09-20,1.21,0.267
2006-09-21,NA,NA
2006-09-22,NA,NA
2006-09-23,3.61,0.193
2006-09-24,NA,NA
2006-09-25,NA,NA
2006-09-26,2.62,0.484
2006-09-27,NA,NA
2006-09-28,NA,NA
2006-09-29,5.99,0.424
2006-09-30,NA,NA
2006-10-01,1.36,0.245
2006-10-02,NA,NA
2006-10-03,NA,NA
2006-10-04,NA,NA
2006-10-05,2.24,0.251
2006-10-06,NA,NA
2006-10-07,NA,NA
2006-10-08,3.83,0.327
2006-10-09,NA,NA
2006-10-10,NA,NA
2006-10-11,3.65,0.459
2006-10-12,NA,NA
2006-10-13,NA,NA
2006-10-14,3.28,0.714
2006-10-15,NA,NA
2006-10-16,NA,NA
2006-10-17,2.71,0.275
2006-10-18,NA,NA
2006-10-19,NA,NA
2006-10-20,2.65,0.668
2006-10-21,NA,NA
2006-10-22,NA,NA
2006-10-23,NA,NA
2006-10-24,NA,NA
2006-10-25,NA,NA
2006-10-26,3.93,0.31
2006-10-27,NA,NA
2006-10-28,NA,NA
2006-10-29,NA,NA
2006-10-30,NA,NA
2006-10-31,NA,NA
2006-11-01,1.03,0.577
2006-11-02,NA,NA
2006-11-03,NA,NA
2006-11-04,3.73,0.442
2006-11-05,NA,NA
2006-11-06,NA,NA
2006-11-07,NA,NA
2006-11-08,NA,NA
2006-11-09,NA,NA
2006-11-10,3.67,0.987
2006-11-11,NA,NA
2006-11-12,NA,NA
2006-11-13,NA,NA
2006-11-14,NA,NA
2006-11-15,NA,NA
2006-11-16,2.41,0.475
2006-11-17,NA,NA
2006-11-18,NA,NA
2006-11-19,4.28,1.08
2006-11-20,NA,NA
2006-11-21,NA,NA
2006-11-22,4.36,1.19
2006-11-23,NA,NA
2006-11-24,NA,NA
2006-11-25,NA,0.372
2006-11-26,NA,NA
2006-11-27,NA,NA
2006-11-28,NA,NA
2006-11-29,NA,NA
2006-11-30,NA,NA
2006-12-01,NA,NA
2006-12-02,NA,NA
2006-12-03,NA,NA
2006-12-04,NA,NA
2006-12-05,NA,NA
2006-12-06,NA,NA
2006-12-07,2.67,0.919
2006-12-08,NA,NA
2006-12-09,NA,NA
2006-12-10,NA,NA
2006-12-11,NA,NA
2006-12-12,NA,NA
2006-12-13,NA,NA
2006-12-14,NA,NA
2006-12-15,NA,NA
2006-12-16,1.49,0.692
2006-12-17,NA,NA
2006-12-18,NA,NA
2006-12-19,NA,NA
2006-12-20,NA,NA
2006-12-21,NA,NA
2006-12-22,NA,NA
2006-12-23,NA,NA
2006-12-24,NA,NA
2006-12-25,NA,NA
2006-12-26,NA,NA
2006-12-27,NA,NA
2006-12-28,2.69,0.478
2006-12-29,NA,NA
2006-12-30,NA,NA
2006-12-31,NA,NA
