"Date","sulfate","nitrate"
2001-01-01,NA,NA
2001-01-02,NA,NA
2001-01-03,NA,NA
2001-01-04,NA,NA
2001-01-05,NA,NA
2001-01-06,NA,NA
2001-01-07,NA,NA
2001-01-08,NA,NA
2001-01-09,NA,NA
2001-01-10,NA,NA
2001-01-11,NA,NA
2001-01-12,NA,NA
2001-01-13,NA,NA
2001-01-14,NA,NA
2001-01-15,NA,NA
2001-01-16,NA,NA
2001-01-17,NA,NA
2001-01-18,NA,NA
2001-01-19,NA,NA
2001-01-20,NA,NA
2001-01-21,NA,NA
2001-01-22,NA,NA
2001-01-23,NA,NA
2001-01-24,NA,NA
2001-01-25,NA,NA
2001-01-26,NA,NA
2001-01-27,NA,NA
2001-01-28,NA,NA
2001-01-29,NA,NA
2001-01-30,NA,NA
2001-01-31,NA,NA
2001-02-01,NA,NA
2001-02-02,NA,NA
2001-02-03,NA,NA
2001-02-04,NA,NA
2001-02-05,NA,NA
2001-02-06,NA,NA
2001-02-07,NA,NA
2001-02-08,NA,NA
2001-02-09,NA,NA
2001-02-10,NA,NA
2001-02-11,NA,NA
2001-02-12,NA,NA
2001-02-13,NA,NA
2001-02-14,NA,NA
2001-02-15,NA,NA
2001-02-16,NA,NA
2001-02-17,NA,NA
2001-02-18,NA,NA
2001-02-19,NA,NA
2001-02-20,NA,NA
2001-02-21,NA,NA
2001-02-22,NA,NA
2001-02-23,NA,NA
2001-02-24,NA,NA
2001-02-25,NA,NA
2001-02-26,NA,NA
2001-02-27,NA,NA
2001-02-28,NA,NA
2001-03-01,NA,NA
2001-03-02,NA,NA
2001-03-03,NA,NA
2001-03-04,NA,NA
2001-03-05,NA,NA
2001-03-06,NA,NA
2001-03-07,NA,NA
2001-03-08,NA,NA
2001-03-09,NA,NA
2001-03-10,NA,NA
2001-03-11,NA,NA
2001-03-12,NA,NA
2001-03-13,NA,NA
2001-03-14,NA,NA
2001-03-15,NA,NA
2001-03-16,NA,NA
2001-03-17,NA,NA
2001-03-18,NA,NA
2001-03-19,NA,NA
2001-03-20,3.09,1.32
2001-03-21,NA,NA
2001-03-22,NA,NA
2001-03-23,NA,NA
2001-03-24,NA,NA
2001-03-25,NA,NA
2001-03-26,1.78,0.509
2001-03-27,NA,NA
2001-03-28,NA,NA
2001-03-29,NA,NA
2001-03-30,NA,NA
2001-03-31,NA,NA
2001-04-01,0.971,1.3
2001-04-02,NA,NA
2001-04-03,NA,NA
2001-04-04,NA,NA
2001-04-05,NA,NA
2001-04-06,NA,NA
2001-04-07,0.522,0.828
2001-04-08,NA,NA
2001-04-09,NA,NA
2001-04-10,NA,NA
2001-04-11,NA,NA
2001-04-12,NA,NA
2001-04-13,NA,NA
2001-04-14,NA,NA
2001-04-15,NA,NA
2001-04-16,NA,NA
2001-04-17,NA,NA
2001-04-18,NA,NA
2001-04-19,1.57,0.234
2001-04-20,NA,NA
2001-04-21,NA,NA
2001-04-22,NA,NA
2001-04-23,NA,NA
2001-04-24,NA,NA
2001-04-25,1.06,0.146
2001-04-26,NA,NA
2001-04-27,NA,NA
2001-04-28,NA,NA
2001-04-29,NA,NA
2001-04-30,NA,NA
2001-05-01,0.923,0.288
2001-05-02,NA,NA
2001-05-03,NA,NA
2001-05-04,NA,NA
2001-05-05,NA,NA
2001-05-06,NA,NA
2001-05-07,NA,NA
2001-05-08,2.54,0.223
2001-05-09,NA,NA
2001-05-10,1.33,0.201
2001-05-11,NA,NA
2001-05-12,NA,NA
2001-05-13,2.36,0.196
2001-05-14,NA,NA
2001-05-15,NA,NA
2001-05-16,1.03,0.141
2001-05-17,NA,NA
2001-05-18,NA,NA
2001-05-19,0.784,0.104
2001-05-20,NA,NA
2001-05-21,NA,NA
2001-05-22,0.904,0.224
2001-05-23,NA,NA
2001-05-24,NA,NA
2001-05-25,NA,NA
2001-05-26,NA,NA
2001-05-27,NA,NA
2001-05-28,NA,NA
2001-05-29,0.704,0.113
2001-05-30,NA,NA
2001-05-31,2.13,0.195
2001-06-01,NA,NA
2001-06-02,NA,NA
2001-06-03,1.93,0.14
2001-06-04,NA,NA
2001-06-05,NA,NA
2001-06-06,0.996,0.16
2001-06-07,NA,NA
2001-06-08,NA,NA
2001-06-09,1.56,0.362
2001-06-10,NA,NA
2001-06-11,NA,NA
2001-06-12,1.73,0.206
2001-06-13,NA,NA
2001-06-14,NA,NA
2001-06-15,NA,NA
2001-06-16,NA,NA
2001-06-17,NA,NA
2001-06-18,NA,NA
2001-06-19,1.29,0.234
2001-06-20,NA,NA
2001-06-21,2.31,0.228
2001-06-22,NA,NA
2001-06-23,NA,NA
2001-06-24,1.7,0.231
2001-06-25,NA,NA
2001-06-26,NA,NA
2001-06-27,1.12,0.394
2001-06-28,NA,NA
2001-06-29,NA,NA
2001-06-30,1.22,0.134
2001-07-01,NA,NA
2001-07-02,NA,NA
2001-07-03,1.08,0.245
2001-07-04,NA,NA
2001-07-05,NA,NA
2001-07-06,NA,NA
2001-07-07,NA,NA
2001-07-08,NA,NA
2001-07-09,NA,NA
2001-07-10,NA,NA
2001-07-11,NA,NA
2001-07-12,1.86,0.201
2001-07-13,NA,NA
2001-07-14,NA,NA
2001-07-15,1.52,0.127
2001-07-16,NA,NA
2001-07-17,NA,NA
2001-07-18,2.29,0.166
2001-07-19,NA,NA
2001-07-20,NA,NA
2001-07-21,1.1,0.211
2001-07-22,NA,NA
2001-07-23,NA,NA
2001-07-24,1.25,0.126
2001-07-25,NA,NA
2001-07-26,NA,NA
2001-07-27,2.45,0.32
2001-07-28,NA,NA
2001-07-29,NA,NA
2001-07-30,NA,NA
2001-07-31,NA,NA
2001-08-01,NA,NA
2001-08-02,NA,NA
2001-08-03,NA,NA
2001-08-04,NA,NA
2001-08-05,3.92,0.176
2001-08-06,NA,NA
2001-08-07,NA,NA
2001-08-08,3.31,0.197
2001-08-09,NA,NA
2001-08-10,NA,NA
2001-08-11,1.7,0.272
2001-08-12,NA,NA
2001-08-13,NA,NA
2001-08-14,1.33,0.293
2001-08-15,NA,NA
2001-08-16,NA,NA
2001-08-17,1.6,0.41
2001-08-18,NA,NA
2001-08-19,NA,NA
2001-08-20,1.94,0.208
2001-08-21,NA,NA
2001-08-22,NA,NA
2001-08-23,2.89,0.224
2001-08-24,NA,NA
2001-08-25,NA,NA
2001-08-26,NA,NA
2001-08-27,NA,NA
2001-08-28,NA,NA
2001-08-29,NA,NA
2001-08-30,NA,NA
2001-08-31,NA,NA
2001-09-01,1.29,0.308
2001-09-02,NA,NA
2001-09-03,NA,NA
2001-09-04,NA,NA
2001-09-05,1.73,0.265
2001-09-06,NA,NA
2001-09-07,1.28,0.249
2001-09-08,NA,NA
2001-09-09,NA,NA
2001-09-10,NA,NA
2001-09-11,1.48,0.102
2001-09-12,NA,NA
2001-09-13,NA,NA
2001-09-14,NA,NA
2001-09-15,NA,NA
2001-09-16,1.26,0.158
2001-09-17,NA,NA
2001-09-18,NA,NA
2001-09-19,1.22,0.232
2001-09-20,NA,NA
2001-09-21,NA,NA
2001-09-22,1.45,0.45
2001-09-23,NA,NA
2001-09-24,NA,NA
2001-09-25,1.45,0.141
2001-09-26,NA,NA
2001-09-27,NA,NA
2001-09-28,1.22,0.218
2001-09-29,NA,NA
2001-09-30,NA,NA
2001-10-01,NA,NA
2001-10-02,3.44,0.359
2001-10-03,NA,NA
2001-10-04,1.77,0.213
2001-10-05,NA,NA
2001-10-06,NA,NA
2001-10-07,1.91,0.455
2001-10-08,NA,NA
2001-10-09,NA,NA
2001-10-10,1.36,0.146
2001-10-11,NA,NA
2001-10-12,NA,NA
2001-10-13,0.53,0.168
2001-10-14,NA,NA
2001-10-15,NA,NA
